State	Fips	85	90	95	00	05	25
02	270	0.13	0.14	0.21	0.43	0.46	0.844
02	280	11.96	2.05	1.95	1.45	6.35	-2.34
02	282	70.57	71.63	0.26	0.27	0.59	-98.128
02	290	19.38	17.53	7.65	3.17	0.66	-21.402
04	001	43.03	61.32	39.03	47.63	35.24	27.688
04	003	199.36	171.18	233.96	233.27	254.42	321.764
04	005	36.14	40.62	47.32	52.68	47.99	66.406
04	007	35.52	73.10	42.88	14.78	28.03	-5.118
04	009	191.64	198.89	176.36	172.21	172.92	143.932
04	011	17.86	24.97	43.65	33.34	31.55	51.724
04	012	628.13	715.48	628.59	879.01	628.49	794.49
04	013	2490.53	2494.45	2392.04	2151.37	1966.99	1464.98
04	015	101.98	145.28	140.32	153.66	138.64	184.996
04	017	59.13	73.03	63.65	69.96	67.48	74.828
04	019	232.18	228.92	263.76	300.38	306.76	398.772
04	021	985.11	882.08	1262.17	1052.44	1289.19	1561.31
04	023	10.31	9.38	15.37	22.66	19.38	34.272
04	025	69.68	192.11	82.39	82.4	91.50	63.974
04	027	1328.46	1259.85	1398.58	1463.36	1166.12	1250.572
05	001	378.36	708.05	820.61	1138.43	966.40	1766.246
05	003	120.22	119.82	134.75	151.94	232.27	305.532
05	005	7.88	5.11	5.53	5.75	5.83	3.944
05	007	21.09	419.31	336.29	373.85	440.90	794.784
05	009	3.64	3.27	4.60	3.92	3.10	3.448
05	011	4.87	1.56	1.46	2.75	1.86	-0.398
05	013	0.66	0.76	1.09	0.55	0.57	0.492
05	015	5.88	7.86	7.28	5.4	11.49	12.838
05	017	149.33	193.93	233.45	222.07	319.92	445.332
05	019	10.97	10.62	5.16	3.57	6.58	-2.118
05	021	189.79	210.50	176.10	269.93	478.70	647.354
05	023	15.24	4.34	6.74	7.19	8.59	2.15
05	025	1.75	1.72	1.30	1.33	0.93	0.188
05	027	9.10	5.69	6.27	4.3	5.87	1.536
05	029	12.32	13.38	28.54	16.09	19.41	28.082
05	031	217.53	266.62	349.64	391.89	409.71	632.856
05	033	13.30	5.85	15.89	18.78	8.55	14.532
05	035	121.17	68.55	112.40	132.75	160.48	204.762
05	037	262.30	357.50	299.15	438.01	644.30	906.958
05	039	1.73	1.36	1.18	1.08	1.50	0.926
05	041	186.64	298.01	330.34	414.51	413.61	670.886
05	043	53.83	54.91	71.00	64.01	89.56	114.998
05	045	16.78	14.44	11.90	12.83	17.21	14.182
05	047	6.35	6.41	12.56	2.74	3.92	1.278
05	049	2.20	73.73	73.75	1.56	2.44	-12.278
05	051	47.69	245.80	266.28	17.28	19.87	-51.112
05	053	2.08	1.74	2.26	1.8	2.70	2.896
05	055	143.34	123.38	153.73	165.09	227.39	288.472
05	057	7.20	10.22	9.44	5.85	7.53	5.822
05	059	9.16	6.40	8.10	414.87	323.17	774.234
05	061	6.21	7.16	5.85	6.76	5.64	5.4
05	063	55.68	50.61	36.57	78.93	104.58	140.946
05	065	2.24	2.44	2.93	2.05	5.01	6.024
05	067	208.43	281.25	298.28	386.17	405.70	615.642
05	069	199.03	295.03	454.52	569.27	349.31	718.312
05	071	8.18	5.35	4.23	5.85	5.32	2.654
05	073	21.39	5.15	32.72	12.27	41.21	50.604
05	075	154.06	235.78	281.39	325.41	248.16	415.658
05	077	100.81	169.55	167.08	241.86	272.20	439.354
05	079	108.69	128.36	151.37	189.52	206.40	310.816
05	081	102.45	6.59	5.04	4.21	14.41	-80.536
05	083	5.58	7.59	4.92	4.45	5.90	4.188
05	085	337.63	330.17	372.94	485.31	534.25	741.088
05	087	5.70	4.87	3.65	1.82	2.13	-2.48
05	089	5.13	1.74	1.74	2.86	2.04	-0.334
05	091	27.31	70.33	100.37	90.35	125.78	213.004
05	093	87.96	126.42	152.77	193.19	279.89	438.424
05	095	138.25	200.74	194.01	255.51	316.45	467.694
05	097	2.24	1.73	1.66	1.11	1.48	0.36
05	099	2.67	2.16	1.68	1.35	2.09	0.808
05	101	1.12	1.10	1.03	0.76	1.40	1.214
05	103	17.14	3.95	36.40	68.07	59.54	126.372
05	105	5.46	15.18	4.38	6.06	14.58	14.604
05	107	100.32	243.95	313.73	468.93	210.29	534.396
05	109	3.57	2.91	1.87	2.13	1.66	-0.332
05	111	306.03	450.26	500.54	665.82	772.60	1228.27
05	113	4.38	4.79	4.86	2.63	3.55	1.75
05	115	1015.89	921.69	980.30	999.03	1164.75	1241.368
05	117	252.70	280.15	297.06	354.62	355.76	476.412
05	119	83.99	74.31	86.26	107.11	83.99	106.812
05	121	46.30	68.16	80.43	116.03	141.39	233.292
05	123	121.08	172.19	201.00	264.13	313.40	500.308
